更新时间,#genre#
2025-03-25 02:08:41,url
央视频道,#genre#:
CCTV16,http://223.145.224.118:8000/udp/239.76.246.214:1234
CCTV16,http://223.145.224.118:8000/udp/239.76.253.230:9000
CCTV16,http://223.145.224.129:8000/udp/239.76.253.230:9000
CCTV16,http://223.145.224.118:8000/udp/239.76.246.214:1234
CCTV17,http://223.145.224.118:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.129:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.129:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.129:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.129:8000/udp/239.76.252.237:9000
CCTV17,http://223.145.224.118:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.129:8000/udp/239.76.252.237:9000
CCTV17,http://223.145.224.118:8000/udp/239.76.252.237:9000
CCTV17,http://223.145.224.118:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.129:8000/udp/239.76.245.238:1234
CCTV世界地理,http://223.145.224.129:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.129:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.129:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.118:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.129:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.118:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.129:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.118:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.129:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.118:8000/udp/239.76.254.57:9000
CCTV兵器科技,http://223.145.224.129:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.129:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.118:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.118:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.129:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.118:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.118:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.129:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.118:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.129:8000/udp/239.76.254.59:9000
CCTV央视台球,http://223.145.224.129:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.129:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.118:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.118:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.118:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.129:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.129:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.129:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.129:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.118:8000/udp/239.76.254.58:9000
CCTV央视文化精品,http://223.145.224.129:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.129:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.118:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.129:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.129:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.118:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.129:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.129:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.118:8000/udp/239.76.254.56:9000
